carrier,date, premium 
PROGRESSIVE,12/2/2014,1075.5
PROGRESSIVE,12/2/2014,819
PROGRESSIVE,12/2/2014,848
PROGRESSIVE,12/2/2014,2565
PROGRESSIVE,12/2/2014,480
TRAVELERS,12/2/2014,1555
TRAVELERS,12/2/2014,855
TRAVELERS,12/2/2014,718
TRAVELERS,12/2/2014,685
TRAVELERS,12/2/2014,1884
TRAVELERS,12/2/2014,1737
TRAVELERS,12/2/2014,926
TRAVELERS,12/2/2014,1265
TRAVELERS,12/2/2014,628
TRAVELERS,12/2/2014,734
TRAVELERS,12/2/2014,897
TRAVELERS,12/2/2014,1606
TRAVELERS,12/2/2014,762.33
TRAVELERS,12/2/2014,3227
TRAVELERS,12/2/2014,1395
TRAVELERS,12/2/2014,748
TRAVELERS,12/2/2014,1352
TRAVELERS,12/2/2014,751
TRAVELERS,12/2/2014,1326
TRAVELERS,12/2/2014,1292
TRAVELERS,12/2/2014,2808
TRAVELERS,12/2/2014,956
TRAVELERS,12/2/2014,596
TRAVELERS,12/2/2014,944
TRAVELERS,12/2/2014,854
TRAVELERS,12/2/2014,1567
TRAVELERS,12/2/2014,931
TRAVELERS,12/2/2014,847
TRAVELERS,12/2/2014,1065
TRAVELERS,12/2/2014,1572
TRAVELERS,12/2/2014,1620
TRAVELERS,12/2/2014,699
FOREMOST,12/2/2014,1513
FOREMOST,12/2/2014,1514
FOREMOST,12/2/2014,908
FOREMOST,12/2/2014,449
FOREMOST,12/2/2014,497
FOREMOST,12/2/2014,488
FOREMOST,12/2/2014,515
FOREMOST,12/2/2014,5766
FOREMOST,12/2/2014,726
FOREMOST,12/2/2014,745
FOREMOST,12/2/2014,778
FOREMOST,12/2/2014,446
FOREMOST,12/2/2014,1106
FOREMOST,12/2/2014,2158
FOREMOST,12/2/2014,709
FOREMOST,12/2/2014,1477
FOREMOST,12/2/2014,1706
FOREMOST,12/2/2014,864
PLYMOUTH ROCK,12/2/2014,568
PLYMOUTH ROCK,12/2/2014,779
PLYMOUTH ROCK,12/2/2014,179
PLYMOUTH ROCK,12/2/2014,477
PLYMOUTH ROCK,12/2/2014,521
PLYMOUTH ROCK,12/2/2014,803
PLYMOUTH ROCK,12/2/2014,1092
PLYMOUTH ROCK,12/2/2014,741
PLYMOUTH ROCK,12/2/2014,1042
PLYMOUTH ROCK,12/2/2014,719
PLYMOUTH ROCK,12/2/2014,577
PLYMOUTH ROCK,12/2/2014,1936
PLYMOUTH ROCK,12/2/2014,835
PLYMOUTH ROCK,12/2/2014,1242
ASI,12/2/2014,174
THE GENERAL,12/2/2014,2104
THE GENERAL,12/2/2014,827
THE GENERAL,12/2/2014,563
THE GENERAL,12/2/2014,2314
THE GENERAL,12/2/2014,1153
THE GENERAL,12/2/2014,1562
ASI,12/2/2014,535
THE GENERAL,12/2/2014,1092
THE GENERAL,12/2/2014,3193
THE GENERAL,12/2/2014,2714
THE GENERAL,12/2/2014,511
THE GENERAL,12/2/2014,1096
MERCURY,12/2/2014,1076
MERCURY,12/2/2014,298
MERCURY,12/2/2014,414
MERCURY,12/2/2014,411
MERCURY,12/2/2014,535
MERCURY,12/2/2014,329
MERCURY,12/2/2014,501
MERCURY,12/2/2014,629
MERCURY,12/2/2014,369
MERCURY,12/2/2014,586
MERCURY,12/2/2014,801
MERCURY,12/2/2014,237
MERCURY,12/2/2014,462
MERCURY,12/2/2014,958
MERCURY,12/2/2014,976
MERCURY,12/2/2014,391.01
MERCURY,12/2/2014,1180
MERCURY,12/2/2014,383
MERCURY,12/2/2014,1046
MERCURY,12/2/2014,710
MERCURY,12/2/2014,1102
MERCURY,12/2/2014,487
MERCURY,12/2/2014,324
MERCURY,12/2/2014,635
MERCURY,12/2/2014,1383
MERCURY,12/2/2014,948
MERCURY,12/2/2014,543
MERCURY,12/2/2014,477
MERCURY,12/2/2014,1936
MERCURY,12/2/2014,1201
THE GENERAL,12/2/2014,900
THE GENERAL,12/2/2014,838.83
ASI,12/2/2014,525
SAFECO,12/2/2014,2419.1
SAFECO,12/2/2014,655.86
SAFECO,12/2/2014,1213
SAFECO,12/2/2014,2169
SAFECO,12/2/2014,921
SAFECO,12/2/2014,963.3
SAFECO,12/2/2014,1691.1
SAFECO,12/2/2014,825
SAFECO,12/2/2014,877
SAFECO,12/2/2014,1886.72
SAFECO,12/2/2014,1436
SAFECO,12/2/2014,1247.3
SAFECO,12/2/2014,1083.1
SAFECO,12/2/2014,758
SAFECO,12/2/2014,1120.2
SAFECO,12/2/2014,1654.5
SAFECO,12/2/2014,993.1
SAFECO,12/2/2014,1905.5
SAFECO,12/2/2014,1156.7
SAFECO,12/2/2014,720.2
SAFECO,12/2/2014,1140
SAFECO,12/2/2014,2484.52
SAFECO,12/2/2014,1993.8
SAFECO,12/2/2014,1359.7
SAFECO,12/2/2014,2188.5
SAFECO,12/2/2014,707.32
SAFECO,12/2/2014,1159.6
SAFECO,12/2/2014,1161
SAFECO,12/2/2014,840.7
SAFECO,12/2/2014,1497.76
SAFECO,12/2/2014,1524
SAFECO,12/2/2014,2275.7
SAFECO,12/2/2014,595.86
SAFECO,12/2/2014,1307.1
SAFECO,12/2/2014,567
SAFECO,12/2/2014,733.8
SAFECO,12/2/2014,2078.68
SAFECO,12/2/2014,639
SAFECO,12/2/2014,2297.9
SAFECO,12/2/2014,384
SAFECO,12/2/2014,302.6
SAFECO,12/2/2014,507.5
SAFECO,12/2/2014,1155.7
SAFECO,12/2/2014,681.1
SAFECO,12/2/2014,469.5
SAFECO,12/2/2014,818
SAFECO,12/2/2014,1142.8
SAFECO,12/2/2014,1190.4
SAFECO,12/2/2014,1646.6
SAFECO,12/2/2014,980.6
SAFECO,12/2/2014,2483.4
SAFECO,12/2/2014,980
SAFECO,12/2/2014,1546
SAFECO,12/2/2014,1220.9
HARTFORD,12/3/2014,822
MERCURY,12/3/2014,298.87
DAIRYLAND,12/3/2014,540.02
HARTFORD,12/3/2014,861
HARTFORD,12/3/2014,700
HARTFORD,12/3/2014,681
